,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0020900015,4,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,99,249,1,0,20091028,GSW,HOU
1,Shot Chart Detail,0020900015,17,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,145,1,1,20091028,GSW,HOU
2,Shot Chart Detail,0020900015,53,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,2,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-60,129,1,0,20091028,GSW,HOU
3,Shot Chart Detail,0020900015,141,201939,Stephen Curry,1610612744,Golden State Warriors,2,9,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-172,82,1,0,20091028,GSW,HOU
4,Shot Chart Detail,0020900015,249,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-68,148,1,0,20091028,GSW,HOU
5,Shot Chart Detail,0020900015,277,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,34,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,15,1,0,20091028,GSW,HOU
6,Shot Chart Detail,0020900015,413,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-64,149,1,1,20091028,GSW,HOU
7,Shot Chart Detail,0020900015,453,201939,Stephen Curry,1610612744,Golden State Warriors,4,6,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,118,123,1,1,20091028,GSW,HOU
8,Shot Chart Detail,0020900015,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,121,162,1,1,20091028,GSW,HOU
9,Shot Chart Detail,0020900015,490,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,134,1,1,20091028,GSW,HOU
10,Shot Chart Detail,0020900015,508,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20091028,GSW,HOU
11,Shot Chart Detail,0020900015,520,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20091028,GSW,HOU
12,Shot Chart Detail,0020900030,9,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,152,195,1,0,20091030,PHX,GSW
13,Shot Chart Detail,0020900030,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-81,205,1,1,20091030,PHX,GSW
14,Shot Chart Detail,0020900030,258,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,125,162,1,1,20091030,PHX,GSW
15,Shot Chart Detail,0020900030,264,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-76,250,1,1,20091030,PHX,GSW
16,Shot Chart Detail,0020900030,313,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-158,-6,1,0,20091030,PHX,GSW
17,Shot Chart Detail,0020900030,374,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091030,PHX,GSW
18,Shot Chart Detail,0020900030,459,201939,Stephen Curry,1610612744,Golden State Warriors,4,10,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20091030,PHX,GSW
19,Shot Chart Detail,0020900030,476,201939,Stephen Curry,1610612744,Golden State Warriors,4,9,6,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,95,48,1,1,20091030,PHX,GSW
20,Shot Chart Detail,0020900030,487,201939,Stephen Curry,1610612744,Golden State Warriors,4,7,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,1,247,1,1,20091030,PHX,GSW
21,Shot Chart Detail,0020900069,21,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,127,216,1,1,20091104,GSW,MEM
22,Shot Chart Detail,0020900069,66,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,0,20091104,GSW,MEM
23,Shot Chart Detail,0020900069,114,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,154,108,1,1,20091104,GSW,MEM
24,Shot Chart Detail,0020900069,120,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,14,1,0,20091104,GSW,MEM
25,Shot Chart Detail,0020900069,138,201939,Stephen Curry,1610612744,Golden State Warriors,2,11,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,258,1,0,20091104,GSW,MEM
26,Shot Chart Detail,0020900069,327,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20091104,GSW,MEM
27,Shot Chart Detail,0020900082,18,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,179,44,1,0,20091106,GSW,LAC
28,Shot Chart Detail,0020900082,64,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,146,1,0,20091106,GSW,LAC
29,Shot Chart Detail,0020900082,68,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-86,134,1,0,20091106,GSW,LAC
30,Shot Chart Detail,0020900082,286,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,23,1,1,20091106,GSW,LAC
31,Shot Chart Detail,0020900082,322,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,190,214,1,0,20091106,GSW,LAC
32,Shot Chart Detail,0020900096,278,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-59,242,1,1,20091108,SAC,GSW
33,Shot Chart Detail,0020900096,280,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,138,50,1,0,20091108,SAC,GSW
34,Shot Chart Detail,0020900096,416,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-18,252,1,0,20091108,SAC,GSW
35,Shot Chart Detail,0020900096,428,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,1,1,0,20091108,SAC,GSW
36,Shot Chart Detail,0020900096,433,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,113,1,1,20091108,SAC,GSW
37,Shot Chart Detail,0020900096,492,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-49,50,1,0,20091108,SAC,GSW
38,Shot Chart Detail,0020900096,542,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-123,145,1,1,20091108,SAC,GSW
39,Shot Chart Detail,0020900096,544,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-65,164,1,1,20091108,SAC,GSW
40,Shot Chart Detail,0020900101,21,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,19,1,0,20091109,GSW,MIN
41,Shot Chart Detail,0020900101,220,201939,Stephen Curry,1610612744,Golden State Warriors,2,5,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,34,265,1,0,20091109,GSW,MIN
42,Shot Chart Detail,0020900101,258,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,25,1,1,20091109,GSW,MIN
43,Shot Chart Detail,0020900101,265,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,0,20091109,GSW,MIN
44,Shot Chart Detail,0020900101,382,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,9,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,30,1,0,20091109,GSW,MIN
45,Shot Chart Detail,0020900101,429,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,187,225,1,1,20091109,GSW,MIN
46,Shot Chart Detail,0020900101,501,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,129,131,1,0,20091109,GSW,MIN
47,Shot Chart Detail,0020900101,583,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,1,1,0,20091109,GSW,MIN
