iter	Accuracy	Logloss
85	0.8890006707	0.3683666646
86	0.8910127431	0.365715058
87	0.8931365974	0.3641168499
88	0.8931365974	0.3624706706
89	0.8959311424	0.3597995571
90	0.8971607422	0.3585659867
91	0.8987256875	0.3554758088
92	0.8995081601	0.3544490816
93	0.9014084507	0.3519094553
94	0.9036440867	0.3496761423
95	0.9069975408	0.3461877585
96	0.9071093226	0.3456326757
97	0.908003577	0.3442681211
98	0.9093449586	0.3433328817
99	0.9105745585	0.3418763045
100	0.9124748491	0.3405552261
101	0.9137044489	0.3390415693
102	0.9149340487	0.3381920328
103	0.9141515761	0.3372449511
104	0.9163872122	0.3353144042
105	0.918175721	0.3331351587
106	0.9195171026	0.331244154
107	0.9207467024	0.329345191
108	0.9219763023	0.3279376153
109	0.9233176839	0.3265973577
110	0.9261122289	0.3249561006
111	0.9262240107	0.3233589887
112	0.9299128102	0.3195235611
113	0.931701319	0.3172128353
114	0.9321484462	0.3153537332
115	0.9330427006	0.3137477855
116	0.9338251733	0.3117785633
117	0.9357254639	0.3084213998
118	0.9374021909	0.306610364
119	0.9382964453	0.304877686
120	0.9398613906	0.3032620007
121	0.941314554	0.3019022074
122	0.9416498994	0.3007741263
123	0.9422088084	0.298299309
124	0.944109099	0.2968296902
125	0.9452269171	0.2941707645
126	0.9451151353	0.292603061
127	0.9460093897	0.291031112
128	0.9490274983	0.2887097623
129	0.9495864073	0.2874808856
130	0.9504806617	0.2853678977
131	0.952604516	0.2823820454
132	0.9534987704	0.2801372945
133	0.9541694612	0.2786021559
134	0.9543930248	0.2779657281
135	0.9543930248	0.2771257461
136	0.9549519338	0.2757354414
137	0.9558461882	0.27380513
138	0.9557344064	0.2723866697
139	0.9575229153	0.2705302476
140	0.9583053879	0.2695658426
141	0.9596467695	0.2676033797
142	0.9594232059	0.2663688692
143	0.9603174603	0.2657123169
144	0.9613234965	0.264413791
145	0.9625530964	0.2626504159
146	0.9628884418	0.2613908243
147	0.9640062598	0.2589772955
148	0.9643416052	0.2575988586
149	0.965012296	0.256188458
150	0.9659065504	0.2549874108
151	0.9656829868	0.2537204172
152	0.9688128773	0.2507906697
153	0.9697071317	0.2483144787
154	0.9694835681	0.246858234
155	0.9702660407	0.2454645544
156	0.9716074223	0.2441987497
157	0.9716074223	0.2422791788
158	0.9723898949	0.2405873177
159	0.9730605857	0.2398670998
160	0.9733959311	0.2385101055
161	0.9733959311	0.2383283131
162	0.9732841493	0.2379041364
163	0.9730605857	0.2370590354
164	0.9733959311	0.2361192925
165	0.9752962218	0.2342871574
166	0.9754080036	0.2329112714
167	0.9755197854	0.2321603361
168	0.9755197854	0.2318496189
169	0.976302258	0.2303178456
170	0.9777554214	0.2272993265
171	0.9784261122	0.2259773361
172	0.9806617483	0.2230574806
173	0.9807735301	0.2223800407
174	0.9807735301	0.2216956321
175	0.9811088755	0.2204847558
176	0.9824502571	0.2189607168
177	0.9834562933	0.2181297783
178	0.9836798569	0.2172373179
179	0.9836798569	0.2167195029
180	0.9835680751	0.21562583
181	0.9833445115	0.2151205404
182	0.9830091661	0.2147559907
183	0.9836798569	0.2136775619
184	0.9841269841	0.2120696194
185	0.9852448021	0.2109437735
186	0.9854683658	0.2097100792
187	0.9866979656	0.2076659433
188	0.9877040018	0.2061580212
189	0.9874804382	0.2055326028
190	0.9882629108	0.2042854231
191	0.9883746926	0.2026926505
192	0.9889336016	0.2011815998
193	0.988710038	0.2000342303
194	0.9891571652	0.1989892516
195	0.989268947	0.1982083338
196	0.989268947	0.1969901291
197	0.9902749832	0.1953286791
198	0.9907221104	0.1943175963
199	0.9907221104	0.1938113762
200	0.9908338922	0.1928031653
201	0.9911692376	0.1919311486
202	0.9911692376	0.1908783904
203	0.9916163649	0.1897149294
204	0.9917281467	0.1892814453
205	0.9920634921	0.1880779693
206	0.9921752739	0.1876283325
207	0.9925106193	0.1865803695
208	0.9928459647	0.1857772148
209	0.9929577465	0.1845556705
210	0.9930695283	0.1843318718
211	0.9934048737	0.1830083099
212	0.9929577465	0.1817126923
213	0.9932930919	0.1790972556
214	0.9935166555	0.1784433855
215	0.9936284373	0.1773310016
216	0.9937402191	0.1770031789
