iter	Passed	Remaining
401	18315	27245
402	18363	27203
403	18408	27156
404	18447	27101
405	18486	27046
406	18531	26999
407	18574	26950
408	18618	26903
409	18657	26848
410	18697	26795
411	18745	26753
412	18790	26707
413	18842	26670
414	18884	26619
415	18927	26570
416	18966	26516
417	19009	26468
418	19045	26408
419	19092	26365
420	19128	26307
421	19168	26254
422	19216	26212
423	19261	26166
424	19302	26115
425	19346	26067
426	19383	26011
427	19424	25959
428	19466	25909
429	19505	25855
430	19546	25805
431	19584	25750
432	19633	25709
433	19676	25660
434	19712	25604
435	19754	25553
436	19795	25503
437	19867	25492
438	19962	25510
439	20007	25463
440	20048	25413
441	20092	25365
442	20134	25315
443	20176	25266
444	20209	25205
445	20250	25154
446	20292	25104
447	20333	25053
448	20373	25001
449	20417	24954
450	20464	24911
451	20509	24864
452	20548	24812
453	20592	24765
454	20636	24718
455	20676	24666
456	20728	24629
457	20768	24577
458	20819	24539
459	20862	24490
460	20903	24440
461	20948	24395
462	20987	24342
463	21032	24296
464	21074	24246
465	21114	24195
466	21153	24143
467	21194	24093
468	21236	24044
469	21277	23993
470	21317	23942
471	21352	23886
472	21393	23835
473	21433	23784
474	21474	23734
475	21516	23686
476	21556	23635
477	21593	23581
478	21639	23537
479	21687	23495
480	21732	23449
481	21776	23403
482	21817	23352
483	21858	23304
484	21912	23267
485	21959	23224
486	21999	23174
487	22035	23119
488	22075	23068
489	22110	23013
490	22153	22965
491	22195	22917
492	22232	22863
493	22271	22812
494	22308	22759
495	22347	22708
496	22385	22656
497	22428	22608
498	22467	22557
499	22504	22504
500	22540	22450
501	22579	22399
502	22634	22364
503	22682	22322
504	22720	22270
505	22758	22219
506	22796	22166
507	22834	22115
508	22872	22064
509	22912	22014
510	22953	21965
511	22997	21919
512	23040	21873
513	23086	21828
514	23131	21784
515	23174	21737
516	23215	21688
517	23248	21633
518	23285	21580
519	23334	21539
520	23373	21488
521	23413	21439
522	23452	21390
523	23490	21338
524	23535	21293
525	23581	21250
526	23630	21209
527	23685	21173
528	23728	21126
529	23778	21086
530	23823	21041
531	23862	20991
532	23901	20941
533	23942	20893
534	23981	20843
535	24026	20799
536	24067	20751
537	24105	20699
538	24140	20647
539	24182	20599
540	24223	20551
541	24263	20502
542	24305	20455
543	24354	20414
544	24394	20365
545	24438	20320
546	24475	20269
547	24515	20220
548	24550	20168
549	24592	20121
550	24639	20078
551	24686	20035
552	24728	19988
553	24776	19946
554	24825	19905
555	24872	19861
556	24918	19818
557	24967	19777
558	25014	19733
559	25060	19690
560	25114	19652
561	25162	19610
562	25209	19567
563	25251	19520
564	25301	19480
565	25350	19438
566	25389	19389
567	25430	19341
568	25473	19295
569	25522	19253
570	25563	19205
571	25622	19171
572	25662	19123
573	25703	19075
574	25739	19025
575	25777	18975
576	25815	18925
577	25856	18878
578	25897	18830
579	25937	18782
580	25974	18731
581	26012	18682
582	26052	18634
583	26087	18583
584	26129	18536
585	26169	18488
586	26211	18441
587	26252	18394
588	26289	18344
589	26330	18297
590	26369	18248
591	26414	18204
592	26462	18162
593	26502	18114
594	26548	18071
595	26590	18024
596	26630	17976
597	26682	17937
598	26722	17889
599	26763	17842
600	26808	17798
601	26866	17762
602	26919	17723
603	26963	17678
604	27006	17632
605	27051	17587
606	27113	17554
607	27157	17509
608	27196	17461
609	27243	17418
610	27282	17370
611	27334	17329
612	27378	17284
613	27423	17239
614	27470	17197
615	27521	17156
616	27567	17112
617	27625	17076
618	27673	17033
619	27716	16987
620	27757	16940
621	27804	16897
622	27860	16859
623	27908	16816
624	27949	16769
625	27999	16728
626	28047	16685
627	28092	16640
628	28132	16593
629	28178	16549
630	28216	16500
631	28255	16452
632	28298	16406
633	28371	16378
634	28425	16339
635	28482	16301
636	28534	16260
637	28588	16221
638	28632	16175
639	28670	16127
640	28714	16081
641	28754	16034
642	28796	15987
643	28846	15946
644	28896	15904
645	28943	15860
646	28996	15820
647	29043	15776
648	29076	15725
649	29118	15679
650	29158	15631
651	29210	15590
652	29256	15546
653	29302	15502
654	29360	15464
655	29433	15434
656	29486	15394
657	29537	15352
658	29583	15308
659	29624	15261
660	29663	15213
661	29712	15170
662	29755	15124
663	29807	15083
664	29850	15037
665	29898	14993
666	29948	14951
667	29989	14904
668	30033	14859
669	30075	14813
670	30112	14764
671	30157	14719
672	30197	14672
673	30242	14627
674	30306	14592
675	30361	14551
676	30406	14507
677	30460	14466
678	30509	14423
679	30556	14379
680	30606	14336
681	30655	14293
682	30737	14266
683	30801	14229
684	30849	14186
685	30899	14143
686	30955	14103
687	31004	14060
688	31047	14014
689	31088	13967
690	31129	13920
691	31166	13871
692	31210	13826
693	31255	13781
694	31313	13741
695	31374	13703
696	31426	13661
697	31479	13620
698	31529	13577
699	31566	13528
700	31614	13484
701	31663	13441
702	31715	13399
703	31766	13356
704	31813	13312
705	31849	13263
706	31896	13218
707	31945	13175
708	31989	13129
709	32041	13087
710	32085	13041
711	32124	12994
712	32164	12946
713	32205	12900
714	32251	12855
715	32293	12809
716	32344	12766
717	32399	12725
718	32455	12684
719	32509	12642
720	32563	12600
721	32611	12556
722	32654	12510
723	32704	12467
724	32757	12425
725	32798	12378
726	32840	12332
727	32898	12291
728	32952	12249
729	33004	12207
730	33069	12169
731	33130	12129
732	33204	12094
733	33283	12061
734	33339	12020
735	33390	11976
736	33426	11928
737	33464	11880
738	33499	11831
739	33548	11787
740	33590	11740
741	33631	11694
742	33670	11646
743	33715	11601
744	33758	11554
745	33801	11508
746	33843	11462
747	33893	11418
748	33933	11371
749	33979	11326
750	34024	11281
751	34071	11236
752	34115	11190
753	34153	11142
754	34193	11096
755	34235	11049
756	34276	11002
757	34324	10958
758	34368	10912
759	34412	10867
760	34453	10820
761	34495	10774
762	34540	10728
763	34573	10679
764	34617	10634
765	34661	10588
766	34699	10541
767	34748	10497
768	34784	10449
769	34828	10403
770	34870	10357
771	34917	10312
772	34953	10264
773	34999	10219
774	35039	10172
775	35082	10126
776	35120	10079
777	35162	10033
778	35203	9987
779	35245	9940
780	35286	9894
781	35327	9848
782	35364	9800
783	35414	9756
784	35466	9713
785	35507	9667
786	35549	9621
787	35591	9575
788	35630	9528
789	35680	9484
790	35715	9436
791	35760	9391
792	35801	9345
793	35840	9298
794	35881	9252
795	35918	9205
796	35986	9166
797	36034	9121
798	36072	9074
799	36108	9027
800	36144	8979
801	36196	8936
802	36260	8895
803	36310	8851
804	36372	8810
805	36428	8768
806	36476	8723
807	36524	8678
808	36574	8634
809	36616	8589
810	36662	8544
811	36706	8498
812	36751	8453
813	36808	8410
814	36850	8364
815	36896	8319
816	36938	8273
817	36982	8228
818	37027	8183
819	37079	8139
820	37131	8095
821	37177	8050
822	37235	8008
823	37307	7968
824	37362	7925
825	37418	7882
826	37475	7839
827	37532	7796
828	37595	7754
829	37646	7710
830	37696	7666
831	37745	7621
832	37801	7578
833	37858	7535
834	37924	7493
835	38002	7455
836	38069	7413
837	38126	7370
838	38174	7325
839	38217	7279
840	38276	7236
841	38327	7192
842	38373	7146
843	38411	7099
844	38451	7053
845	38490	7006
846	38527	6959
847	38562	6912
848	38602	6865
849	38642	6819
850	38696	6775
851	38757	6732
852	38802	6686
853	38854	6642
854	38910	6598
855	38960	6554
856	39006	6508
857	39047	6462
858	39100	6418
859	39144	6372
860	39188	6326
861	39249	6283
862	39304	6239
863	39360	6195
864	39435	6154
865	39499	6111
866	39550	6067
867	39597	6021
868	39643	5976
869	39698	5931
870	39741	5885
871	39789	5840
872	39829	5794
873	39872	5748
874	39915	5702
875	39953	5655
876	39995	5609
877	40034	5562
878	40075	5516
879	40119	5470
880	40170	5426
881	40240	5383
882	40292	5338
883	40344	5294
884	40399	5249
885	40442	5203
886	40484	5157
887	40527	5111
888	40573	5066
889	40616	5020
890	40656	4973
891	40699	4927
892	40745	4882
893	40785	4835
894	40829	4790
895	40868	4743
896	40906	4697
897	40937	4649
898	40971	4603
899	41012	4556
900	41054	4510
901	41093	4464
902	41131	4418
903	41171	4372
904	41211	4326
905	41245	4279
906	41281	4232
907	41319	4186
908	41359	4140
909	41402	4094
910	41449	4049
911	41495	4003
912	41538	3958
913	41582	3912
914	41626	3866
915	41672	3821
916	41722	3776
917	41757	3729
918	41797	3683
919	41835	3637
920	41872	3591
921	41916	3546
922	41954	3499
923	41995	3454
924	42045	3409
925	42085	3363
926	42124	3317
927	42162	3271
928	42208	3225
929	42257	3180
930	42298	3134
931	42333	3088
932	42379	3043
933	42428	2998
934	42480	2953
935	42532	2908
936	42580	2862
937	42619	2817
938	42664	2771
939	42716	2726
940	42761	2681
941	42797	2635
942	42836	2589
943	42888	2544
944	42938	2499
945	42979	2453
946	43022	2407
947	43081	2363
948	43130	2317
949	43162	2271
950	43205	2226
951	43246	2180
952	43282	2134
953	43313	2088
954	43351	2042
955	43392	1997
956	43431	1951
957	43470	1905
958	43509	1860
959	43553	1814
960	43592	1769
961	43635	1723
962	43684	1678
963	43722	1632
964	43763	1587
965	43798	1541
966	43839	1496
967	43880	1450
968	43919	1405
969	43961	1359
970	44004	1314
971	44056	1269
972	44098	1223
973	44136	1178
974	44175	1132
975	44217	1087
976	44259	1041
977	44294	996
978	44334	950
979	44372	905
980	44415	860
981	44457	814
982	44504	769
983	44539	724
984	44584	678
985	44624	633
986	44667	588
987	44710	543
988	44749	497
989	44790	452
990	44830	407
991	44877	361
992	44915	316
993	44956	271
994	45001	226
995	45043	180
996	45083	135
997	45121	90
998	45159	45
999	45213	0
