iter	Passed	Remaining
0	24	372
1	51	362
2	70	307
3	83	249
4	90	198
5	100	166
6	110	142
7	120	120
8	129	100
9	134	80
10	144	65
11	158	52
12	168	38
13	179	25
14	189	12
15	200	0
